county,month,labor_force,employment,unemployment,unemployment_rate,jobs_reported,jobs_dif
alameda,4,804200,691200,112900,0.14,249531,441769
alpine,4,500,390,110,0.21600000000000005,61,329
amador,4,14520,12430,2090,0.14400000000000002,1911,10519
butte,4,93900,79300,14600,0.155,21663,57637
calaveras,4,20670,17930,2740,0.133,4103,13827
colusa,4,10690,7810,2880,0.27,2083,5727
contra costa,4,536500,458800,77800,0.145,116842,341858
del norte,4,9610,8330,1270,0.133,1120,7220
el dorado,4,89900,76200,13700,0.153,19734,56466
fresno,4,450300,374400,75900,0.16899999999999998,92351,282049
glenn,4,11410,9580,1830,0.16,2392,7188
humboldt,4,62200,53600,8600,0.138,15205,38395
imperial,4,71900,51700,20200,0.281,10185,41515
inyo,4,8180,7060,1130,0.138,331,6719
kern,4,370800,301600,69200,0.187,67882,233718
kings,4,57100,47400,9700,0.17,5799,41601
lake,4,25960,21620,4340,0.16699999999999998,4454,17166
lassen,4,9030,7990,1040,0.116,708,7282
los angeles,4,4756900,3787600,969300,0.204,1456962,2330638
madera,4,62100,51700,10400,0.16699999999999998,8426,43274
marin,4,128100,113700,14400,0.112,61039,52661
mariposa,4,7840,6420,1430,0.182,845,5565
mendocino,4,37560,32040,5520,0.147,10514,21526
merced,4,115500,93900,21600,0.187,12841,81059
modoc,4,3070,2640,430,0.139,122,2518
mono,4,6520,4670,1840,0.28300000000000003,4906,-226
monterey,4,201700,160300,41400,0.205,43072,117228
napa,4,72300,60700,11600,0.161,29378,31322
nevada,4,42980,36430,6550,0.152,10000,26430
orange,4,1540300,1327700,212600,0.138,579988,747712
placer,4,179900,156500,23500,0.13,58436,97964
plumas,4,6780,5370,1410,0.208,661,4709
riverside,4,1085200,915700,169500,0.156,214073,701627
sacramento,4,689900,590100,99700,0.145,146882,443318
san benito,4,32300,26100,6100,0.189,6445,19755
san bernardino,4,933900,806600,127300,0.136,203921,602679
san diego,4,1550200,1317500,232800,0.15,441665,875735
san francisco,4,553700,483900,69800,0.126,192111,291789
san joaquin,4,325600,267700,57900,0.17800000000000002,55735,211965
san luis obispo,4,133400,114700,18700,0.14,44395,70305
san mateo,4,431100,382100,49000,0.114,109938,272162
santa barbara,4,212300,182800,29500,0.139,65850,116950
santa clara,4,1017700,898300,119400,0.117,234256,664044
santa cruz,4,135000,112000,23000,0.17,36055,75945
shasta,4,72100,60900,11200,0.156,20711,40189
sierra,4,1180,1010,170,0.146,127,883
siskiyou,4,16530,13940,2590,0.157,3433,10507
solano,4,201500,171100,30400,0.151,34883,136217
sonoma,4,248600,212500,36100,0.145,72599,139901
stanislaus,4,233400,192500,40800,0.175,44245,148355
sutter,4,45100,36900,8200,0.182,9351,27549
tehama,4,25400,21750,3650,0.14400000000000002,3390,18360
trinity,4,4340,3790,550,0.127,477,3313
tulare,4,195700,157900,37800,0.193,38694,119206
tuolumne,4,21980,18180,3800,0.173,4572,13608
ventura,4,412300,354900,57400,0.139,116917,237983
yolo,4,101300,89500,11800,0.116,21664,67836
yuba,4,29700,24900,4800,0.161,3814,21086
